29,arizona-diamondbacks,Arizona Diamondbacks
11,athletics,Athletics
15,atlanta-braves,Atlanta Braves
1,baltimore-orioles,Baltimore Orioles
2,boston-red-sox,Boston Red Sox
16,chicago-cubs,Chicago Cubs
4,chicago-white-sox,Chicago White Sox
17,cincinnati-reds,Cincinnati Reds
5,cleveland-guardians,Cleveland Guardians
27,colorado-rockies,Colorado Rockies
6,detroit-tigers,Detroit Tigers
18,houston-astros,Houston Astros
7,kansas-city-royals,Kansas City Royals
3,los-angeles-angels,Los Angeles Angels
19,los-angeles-dodgers,Los Angeles Dodgers
28,miami-marlins,Miami Marlins
8,milwaukee-brewers,Milwaukee Brewers
9,minnesota-twins,Minnesota Twins
21,new-york-mets,New York Mets
10,new-york-yankees,New York Yankees
22,philadelphia-phillies,Philadelphia Phillies
23,pittsburgh-pirates,Pittsburgh Pirates
25,san-diego-padres,San Diego Padres
26,san-francisco-giants,San Francisco Giants
12,seattle-mariners,Seattle Mariners
24,st-louis-cardinals,St. Louis Cardinals
30,tampa-bay-rays,Tampa Bay Rays
13,texas-rangers,Texas Rangers
14,toronto-blue-jays,Toronto Blue Jays
20,washington-nationals,Washington Nationals